Function Name,Function Pointer Declaration,Function Template
InitWindow,"void (*InitWindow)(int width, int height, const char *title)","<void(int, int, const char*)>"
WindowShouldClose,bool (*WindowShouldClose)(void),<bool(void)>
CloseWindow,void (*CloseWindow)(void),<void(void)>
IsWindowReady,bool (*IsWindowReady)(void),<bool(void)>
IsWindowFullscreen,bool (*IsWindowFullscreen)(void),<bool(void)>
IsWindowHidden,bool (*IsWindowHidden)(void),<bool(void)>
IsWindowMinimized,bool (*IsWindowMinimized)(void),<bool(void)>
IsWindowMaximized,bool (*IsWindowMaximized)(void),<bool(void)>
IsWindowFocused,bool (*IsWindowFocused)(void),<bool(void)>
IsWindowResized,bool (*IsWindowResized)(void),<bool(void)>
IsWindowState,bool (*IsWindowState)(unsigned int flag),<bool(unsigned int)>
SetWindowState,void (*SetWindowState)(unsigned int flags),<void(unsigned int)>
ClearWindowState,void (*ClearWindowState)(unsigned int flags),<void(unsigned int)>
ToggleFullscreen,void (*ToggleFullscreen)(void),<void(void)>
MaximizeWindow,void (*MaximizeWindow)(void),<void(void)>
MinimizeWindow,void (*MinimizeWindow)(void),<void(void)>
RestoreWindow,void (*RestoreWindow)(void),<void(void)>
SetWindowIcon,void (*SetWindowIcon)(Image image),<void(Image)>
SetWindowIcons,"void (*SetWindowIcons)(Image *images, int count)","<void(Image*, int)>"
SetWindowTitle,void (*SetWindowTitle)(const char *title),<void(const char*)>
SetWindowPosition,"void (*SetWindowPosition)(int x, int y)","<void(int, int)>"
SetWindowMonitor,void (*SetWindowMonitor)(int monitor),<void(int)>
SetWindowMinSize,"void (*SetWindowMinSize)(int width, int height)","<void(int, int)>"
SetWindowSize,"void (*SetWindowSize)(int width, int height)","<void(int, int)>"
SetWindowOpacity,void (*SetWindowOpacity)(float opacity),<void(float)>
GetWindowHandle,void *(*GetWindowHandle)(void),<void*(void)>
GetScreenWidth,int (*GetScreenWidth)(void),<int(void)>
GetScreenHeight,int (*GetScreenHeight)(void),<int(void)>
GetRenderWidth,int (*GetRenderWidth)(void),<int(void)>
GetRenderHeight,int (*GetRenderHeight)(void),<int(void)>
GetMonitorCount,int (*GetMonitorCount)(void),<int(void)>
GetCurrentMonitor,int (*GetCurrentMonitor)(void),<int(void)>
GetMonitorPosition,Vector2 (*GetMonitorPosition)(int monitor),<Vector2(int)>
GetMonitorWidth,int (*GetMonitorWidth)(int monitor),<int(int)>
GetMonitorHeight,int (*GetMonitorHeight)(int monitor),<int(int)>
GetMonitorPhysicalWidth,int (*GetMonitorPhysicalWidth)(int monitor),<int(int)>
GetMonitorPhysicalHeight,int (*GetMonitorPhysicalHeight)(int monitor),<int(int)>
GetMonitorRefreshRate,int (*GetMonitorRefreshRate)(int monitor),<int(int)>
GetWindowPosition,Vector2 (*GetWindowPosition)(void),<Vector2(void)>
GetWindowScaleDPI,Vector2 (*GetWindowScaleDPI)(void),<Vector2(void)>
GetMonitorName,const char *(*GetMonitorName)(int monitor),<const char*(int)>
SetClipboardText,void (*SetClipboardText)(const char *text),<void(const char*)>
